Category1;Value1;Value2
B;8.472252850523612;20.585055420048725
B;9.063759103906142;23.90850523524895
B;9.577687572223999;16.15414397235125
B;11.238576568702863;20.649418496755423
B;9.033325593324843;21.198761042263754
A;9.907562001188307;14.118705247599955
A;7.42688905060401;25.843123957462733
A;7.159286912599207;26.807575131189502
B;9.472722580994143;32.71000973922858
B;8.390829936101817;23.14170081371868
A;8.517880803455697;20.895589221874665
C;9.100369481962302;18.962147096674208
A;9.932504528156718;25.692500503510388
A;8.588980124424896;12.672780999720036
A;7.593687232249353;15.21648587156578
A;9.52637200853752;31.12299782143299
A;8.335711267991444;17.463192447612116
B;10.786417435029598;13.2744802319449
A;10.12114496748319;30.206958515733987
B;11.428622866218399;28.191928948063804
B;9.63164245190748;22.28757888850028
B;9.689044018429435;31.67838635532998
A;8.1464022901979;15.81436826168077
A;8.38478348120348;18.842843076586366
A;7.496420357711893;21.389672305951343
A;8.463986095026874;17.24381832844349
A;6.509027438962281;26.249821891364554
B;10.261092738566326;29.596281213645632
A;8.819141684152115;13.250876378818539
B;9.58605383497495;15.62934975886768
B;6.254122289323983;33.05765476775851
A;7.767654357560324;21.567796339711375
A;6.3235456483574914;16.7424452211269
B;9.486235676358055;26.74428592925003
B;10.008697798492085;20.970116809442455
B;8.031412829994537;21.141780274370987
B;11.248223160446987;27.04331127650462
A;8.577982464674092;35.843160221998005
A;8.490401710296092;16.775120073753172
A;8.424730794300629;19.44603205741212
A;8.986514798657504;20.720155164145172
B;9.861052084178539;29.412466752685816
A;9.21512649547015;24.22850119039743
B;8.375164778906168;14.81585184684788
A;8.095779013214738;19.963757145344974
B;10.637930095833207;27.46326782235508
A;9.735910813784571;15.806216034749067
B;9.33039060546217;20.570741472823947
A;9.149281714617157;12.06457984891297
A;7.490541363885139;21.38956169255535
A;8.648028958209519;36.97423322227368
A;7.228721945818251;19.739668223023152
A;8.481035772889062;16.51691491923735
B;8.584476525896319;24.356289155791575
A;8.642156956990386;36.30429627190542
A;8.77095070716977;16.334969742940654
B;7.412383693217114;24.670306824809842
A;9.092771496355235;18.05157007285577
A;7.164721423676262;24.040529877385797
B;7.502087744808325;22.043372937660102
B;8.213616102699811;18.77841833590934
A;10.30885292229762;4.104236241135325
A;9.508136022799153;14.825834385528843
A;7.873283914836954;12.838714929113785
B;12.10908823296755;24.249086665842256
A;8.330787791106749;25.168046470146848
A;7.383450886789605;15.219349009421702
A;7.621790729051635;22.54868331312193
B;11.53004577233779;18.246979206771456
B;9.019449034662957;18.754986852421982
A;10.275118764792563;28.627314273103384
B;7.174705721963663;24.715483494013768
A;9.659276733161267;22.405114315197327
A;8.859055049028505;20.29219081462856
B;8.979958633020152;27.174550783662532
A;7.125425778742182;15.923410446315465
B;10.608807215231677;19.488329074204973
A;8.331423304969116;27.993425832569283
A;8.743179355171687;25.707110210129436
A;7.691931262746477;20.775309956474633
B;10.031830002312978;21.262700900394382
A;9.769284704236886;17.322473395604618
B;8.406437387834346;35.357718196290534
